keyword,total_products,avg_price,posts_7d,posts_24h,posting_freq,community_interest,total_score
에어컨,4614063,1083267.67,100,100,매우 높음,매우 높음,90
선풍기,3658597,90131.7,100,100,매우 높음,매우 높음,100
서큘레이터,457714,100268.3,100,100,매우 높음,매우 높음,95
제습기,367719,703537.95,100,100,매우 높음,매우 높음,90
캠핑,23267274,98940.0,100,100,매우 높음,매우 높음,100
수영복,5387693,50258.86,100,100,매우 높음,매우 높음,100
래쉬가드,1459878,36842.95,100,100,매우 높음,매우 높음,100
아쿠아슈즈,880101,25919.96,100,100,매우 높음,매우 높음,100
선크림,516528,21491.3,100,100,매우 높음,매우 높음,100
모기퇴치,578345,17310.6,100,100,매우 높음,매우 높음,100
